Ano;Demanda
1975;44.9
1976;47.5
1977;47.8
1978;50.4
1979;49.7
1980;50.2
1981;49.4
1982;48.8
1983;52.1
1984;51.7
1985;55
1986;56.9
1987;59.7
1988;56.3
1989;59.2
1990;64.2
1991;67.8
1992;57.7
1993;64.1
1994;67.6
1995;66.3
1996;69.2
1997;70.6
1998;68.1
1999;66.7
2000;72.7
2001;72.5
2002;76.9
2003;81.2
2004;91.4
2005;89.4
2006;100.3
2007;52.4
2008;124.7
2009;111.3
2010;81.1
2011;96.5
2012;96.5
2013;90.7
2014;98.3
2015;96
2016;95.6
2017;83.8
2018;113.8
2019;87.4
2020;83.3
